T2M,RH2M,WS10M,WS50M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,WS50M_MAX,WS50M_MIN,PS
30.03,35.69,3.24,4.6,41.19,17.69,7.89,0.11,9.97,0.24,97.51
33.16,37.0,3.32,4.59,43.44,23.05,7.23,0.29,9.32,0.48,97.29
35.79,32.0,4.17,5.68,45.46,26.37,10.32,0.05,12.42,0.07,96.88
29.84,66.0,4.64,6.31,40.24,23.3,12.02,0.14,15.19,0.16,96.71
27.8,74.44,4.29,6.08,35.74,23.14,11.38,0.09,14.04,0.2,96.83
26.47,81.44,3.98,5.92,32.95,21.99,12.87,0.2,16.79,0.29,96.89
25.9,87.25,3.31,5.12,31.51,20.79,7.7,0.13,9.74,0.19,96.95
23.0,79.94,2.92,4.52,29.98,15.83,5.83,0.34,9.2,0.6,97.46
21.55,68.19,2.27,3.3,29.94,10.84,7.09,0.06,8.79,0.11,97.8
22.05,63.69,2.32,3.55,33.01,12.98,4.98,0.21,7.07,0.31,97.86
22.41,46.19,2.63,3.94,33.01,11.34,6.12,0.12,8.84,0.15,97.78
24.83,51.31,2.72,3.96,36.22,11.43,7.14,0.05,10.01,0.09,97.71
28.26,46.88,3.15,4.66,39.69,17.07,8.18,0.34,10.34,0.42,97.44
31.07,45.56,2.85,4.24,42.65,20.58,7.04,0.23,9.55,0.14,97.21
35.16,26.94,4.69,6.51,44.6,25.24,10.62,0.38,12.62,0.2,96.86
29.46,61.25,4.78,6.59,41.4,23.12,9.82,0.41,12.06,0.48,96.84
28.12,70.38,3.66,5.3,36.34,22.72,11.46,0.23,14.62,0.39,96.81
25.94,84.81,4.06,6.02,32.31,22.13,9.81,0.42,13.78,0.59,96.91
25.6,85.31,3.0,4.73,31.46,19.49,8.31,0.12,10.62,0.19,97.14
24.44,78.75,2.24,3.48,30.81,14.48,5.98,0.12,8.47,0.05,97.57
22.63,74.56,2.26,3.41,30.37,13.24,6.85,0.05,8.58,0.03,97.72
22.36,62.12,1.91,2.81,31.46,13.39,3.4,0.11,6.31,0.12,97.87
23.18,55.25,2.59,3.91,36.01,13.83,5.38,0.04,7.91,0.09,97.94
27.51,35.0,2.4,3.53,40.48,16.99,6.04,0.04,8.52,0.06,97.63
30.43,29.5,2.73,3.99,41.68,19.58,6.45,0.19,9.56,0.08,97.47
33.67,30.69,3.02,4.27,43.97,23.09,7.65,0.23,9.65,0.2,97.18
34.83,37.06,3.54,4.74,45.58,26.4,10.5,0.12,12.68,0.02,96.84
30.95,57.88,4.79,6.41,42.73,23.99,9.98,0.38,12.0,0.74,96.81
28.03,70.62,5.53,7.77,35.79,22.48,10.62,0.59,13.76,0.88,96.75
27.36,77.31,3.42,5.02,36.26,22.16,7.91,0.07,9.83,0.16,97.0
26.69,83.38,3.2,4.91,32.5,21.96,7.84,0.26,9.59,0.27,97.08
25.18,72.69,2.47,3.67,32.12,15.98,8.23,0.19,10.64,0.49,97.49
23.55,72.25,2.75,4.27,33.53,11.82,5.79,0.09,7.31,0.13,97.73
22.05,63.0,2.21,3.42,31.08,11.69,4.8,0.09,7.09,0.12,97.93
22.24,49.56,2.4,3.61,32.65,11.73,5.66,0.14,7.83,0.22,98.01
27.12,42.5,3.06,4.56,38.13,14.74,6.37,0.02,9.3,0.07,97.75
31.87,31.25,2.95,4.2,42.6,18.31,6.63,0.02,9.69,0.17,97.53
34.92,32.06,3.36,4.58,44.51,22.34,8.42,0.09,11.2,0.17,97.28
35.29,37.5,4.46,5.98,46.17,25.53,11.02,0.16,13.32,0.27,96.84
31.73,56.0,4.43,5.88,44.06,24.65,10.55,0.38,12.77,0.62,96.86
26.62,82.75,4.38,6.33,34.17,22.4,9.44,0.45,11.78,0.66,96.85
26.23,85.88,3.36,5.17,31.86,20.74,8.8,0.21,11.54,0.24,96.92
25.51,87.81,3.15,4.8,30.65,19.9,8.06,0.19,10.64,0.24,97.12
24.72,86.19,2.84,4.48,30.88,15.85,7.66,0.09,9.66,0.19,97.26
23.76,86.25,2.25,3.43,29.55,18.6,7.5,0.07,9.34,0.07,97.63
19.37,77.88,2.59,3.89,27.78,9.23,6.3,0.18,7.73,0.27,97.65
19.69,64.5,2.51,3.86,31.33,8.67,5.39,0.36,9.35,0.25,97.82
24.09,59.25,2.66,4.05,33.47,14.41,6.6,0.21,10.25,0.36,97.68
29.3,36.88,2.83,4.2,41.08,18.6,6.9,0.27,9.91,0.3,97.48
32.01,41.0,3.65,4.84,42.7,21.19,8.09,0.13,10.43,0.15,97.3
35.21,32.12,3.5,4.81,44.76,26.87,9.37,0.0,10.45,0.27,96.95
30.73,56.44,5.37,7.16,40.66,24.24,10.81,0.26,13.27,0.28,96.76
27.64,74.62,4.53,6.37,35.0,22.97,8.7,0.22,10.91,0.23,96.76
26.65,80.56,4.13,6.01,34.98,21.59,8.97,0.43,11.28,0.66,96.85
26.33,81.12,3.58,5.45,33.25,20.84,8.23,0.54,10.54,0.82,97.07
26.51,69.25,2.45,3.82,35.01,18.82,5.91,0.45,7.91,0.48,97.52
24.55,55.31,2.44,3.81,34.08,14.75,4.95,0.19,7.58,0.17,97.76
23.13,42.62,2.58,3.94,34.03,12.93,7.03,0.15,8.8,0.26,97.79
23.88,47.19,3.1,4.7,35.22,9.66,6.7,0.13,9.0,0.39,97.77
26.32,32.88,2.92,4.35,39.54,13.42,6.77,0.19,8.91,0.26,97.62
29.41,23.31,2.88,4.18,41.15,15.93,6.62,0.11,9.84,0.2,97.47
33.71,36.0,3.61,4.89,42.73,23.36,7.99,0.12,10.26,0.19,97.22
36.06,29.44,3.78,5.07,45.61,26.39,11.0,0.26,13.27,0.27,96.86
30.94,54.75,5.05,6.88,44.48,24.01,10.69,0.8,12.85,1.39,96.79
27.16,75.69,4.8,6.8,36.51,21.51,9.21,0.2,11.54,0.37,96.77
26.34,81.44,4.4,6.44,32.39,22.07,9.62,0.39,12.51,0.55,96.92
25.98,84.56,3.29,5.03,31.74,21.68,7.99,0.49,10.2,0.73,97.15
24.38,78.12,2.43,3.7,31.13,15.56,7.38,0.05,9.45,0.04,97.6
22.92,73.62,2.73,4.27,31.67,10.76,7.05,0.23,9.97,0.27,97.68
22.65,60.62,2.6,4.01,33.44,11.96,6.12,0.07,8.59,0.09,97.81
23.94,50.5,2.83,4.36,34.26,13.23,6.23,0.38,8.7,0.48,97.91
25.48,49.12,3.02,4.53,36.33,12.45,7.1,0.14,9.84,0.1,97.79
29.64,35.19,3.52,5.09,40.99,15.7,7.94,0.17,9.83,0.27,97.57
32.55,40.12,3.61,4.95,42.8,22.98,6.99,0.14,9.61,0.03,97.24
35.66,34.69,4.73,6.18,47.25,26.53,10.74,0.45,13.02,0.52,96.83
28.05,72.38,5.0,6.94,35.63,22.82,11.3,1.0,14.37,1.23,96.73
26.33,80.62,5.57,7.84,33.28,22.12,10.95,1.92,14.66,3.16,96.69
25.68,85.19,4.08,6.06,31.16,21.94,9.57,0.09,12.31,0.12,96.95
25.9,84.88,2.63,4.12,30.9,20.86,6.84,0.14,8.88,0.2,97.1
24.6,85.62,2.87,4.44,30.49,15.52,7.1,0.35,9.04,0.51,97.37
21.69,81.94,2.55,3.97,28.94,12.46,6.73,0.22,8.59,0.32,97.81
19.21,74.06,2.62,4.09,28.48,10.11,5.62,0.72,8.52,0.81,97.9
21.56,68.38,2.56,3.95,29.8,13.33,6.2,0.29,8.73,0.16,98.04
24.01,51.75,3.05,4.48,34.15,12.73,7.45,0.18,9.9,0.26,97.71
27.77,50.56,2.4,3.64,41.61,16.43,5.47,0.1,9.0,0.13,97.72
33.4,31.25,2.6,3.7,42.73,22.7,7.8,0.13,9.84,0.21,97.39
33.22,44.0,3.64,4.91,44.57,23.48,9.16,0.12,11.52,0.18,97.1
33.06,46.06,5.25,6.95,43.76,25.81,10.71,0.09,12.95,0.14,96.78
28.62,67.31,5.65,7.72,39.77,23.66,10.7,1.01,13.36,1.6,96.82
27.89,72.44,3.48,5.01,36.8,22.02,9.16,0.27,11.38,0.22,97.0
26.15,79.12,3.79,5.66,33.46,20.01,9.05,0.23,11.71,0.34,97.21
26.31,67.12,2.91,4.43,35.85,15.83,10.05,0.08,13.09,0.1,97.62
24.21,57.12,2.7,4.2,33.62,14.61,6.78,0.34,8.15,0.51,97.8
22.39,47.75,2.48,3.83,32.96,11.78,5.37,0.25,8.8,0.34,97.91
21.42,48.12,3.0,4.67,34.32,9.78,7.08,0.51,8.74,0.48,98.0
25.55,39.56,2.9,4.34,36.73,15.19,6.34,0.2,9.66,0.09,97.84
29.0,41.69,2.8,4.07,40.53,16.77,8.14,0.34,10.06,0.3,97.75
31.5,42.5,3.18,4.38,42.79,19.43,7.88,0.03,10.01,0.18,97.41
35.26,33.31,4.08,5.5,46.63,25.55,9.95,0.03,12.09,0.16,97.06
29.8,62.69,5.08,6.78,39.85,23.56,12.56,0.29,16.41,0.08,96.88
29.51,63.31,4.77,6.72,36.99,23.68,9.91,0.15,12.12,0.33,96.92
28.16,71.69,3.87,5.56,35.8,23.17,9.3,0.51,11.44,0.78,97.08
27.7,73.19,2.59,3.95,36.08,20.54,8.85,0.12,11.12,0.21,97.26
28.03,59.88,2.48,3.83,37.16,20.42,6.09,0.2,7.5,0.22,97.66
26.37,57.19,3.03,4.52,35.23,18.37,7.12,0.63,8.68,0.88,97.79
25.05,47.38,2.89,4.35,36.15,11.83,6.74,0.23,9.09,0.07,97.96
23.61,40.25,2.64,3.96,36.62,11.69,6.42,0.11,8.75,0.11,97.96
27.83,42.38,3.61,5.16,39.88,16.4,7.99,0.27,10.57,0.24,97.79
30.75,39.12,3.58,5.03,41.48,19.65,7.24,0.23,10.22,0.33,97.59
34.55,31.62,3.85,5.24,44.43,23.05,7.89,0.42,10.36,0.58,97.24
34.38,40.38,4.38,5.94,44.74,24.81,11.94,0.06,14.46,0.15,97.0
29.83,64.56,4.28,5.83,42.99,23.75,10.24,0.1,12.45,0.2,96.87
26.95,79.06,4.65,6.64,34.08,22.54,11.75,0.56,14.9,0.88,96.91
27.0,78.38,4.18,6.07,33.75,22.53,9.88,0.19,12.67,0.23,96.94
25.62,85.5,3.73,5.63,31.37,20.42,8.11,0.23,10.3,0.55,97.07
23.62,79.56,3.1,4.88,30.74,16.2,6.59,0.27,8.07,0.41,97.48
21.15,68.06,2.7,4.09,30.69,11.85,5.73,0.41,7.2,0.32,97.83
20.68,57.81,2.64,4.02,30.44,10.29,5.79,0.09,8.3,0.12,97.9
22.13,45.06,2.47,3.73,34.01,11.47,5.74,0.26,8.18,0.09,97.94
26.05,31.56,2.56,3.68,38.86,15.38,5.65,0.31,9.02,0.08,97.86
29.48,35.38,2.96,4.34,42.45,16.95,6.8,0.26,9.8,0.17,97.49
34.26,25.12,2.97,4.2,44.66,21.83,7.77,0.11,9.48,0.06,97.22
34.97,37.38,4.05,5.45,45.26,24.46,10.3,0.04,12.43,0.19,97.02
29.19,68.75,4.47,6.23,42.35,23.08,8.77,0.41,10.52,0.53,96.89
27.53,75.06,5.29,7.57,34.67,22.99,10.24,0.23,14.05,0.34,96.92
26.3,82.19,3.5,5.2,32.69,20.71,9.02,0.41,11.38,0.56,96.93
26.46,84.0,2.7,4.2,31.98,21.63,6.81,0.41,8.68,0.55,97.21
25.23,81.56,2.09,3.23,31.59,16.39,5.34,0.09,7.88,0.12,97.39
22.62,73.56,2.45,3.73,31.61,13.02,5.24,0.15,8.04,0.2,97.72
20.75,57.81,2.27,3.34,30.65,12.3,5.34,0.34,7.99,0.24,97.94
21.62,38.44,2.26,3.3,32.85,11.13,4.78,0.02,6.73,0.04,97.79
25.65,35.81,2.72,4.11,37.83,14.26,6.96,0.27,8.38,0.24,97.82
30.28,29.19,2.63,3.91,41.94,19.91,6.41,0.12,9.06,0.2,97.51
33.04,39.19,3.19,4.49,44.85,22.2,7.19,0.05,9.84,0.17,97.27
34.25,42.12,4.06,5.23,44.19,24.83,8.86,0.09,11.22,0.29,97.04
29.77,63.56,4.09,5.65,40.14,23.0,9.45,0.18,11.52,0.15,96.82
27.22,75.44,5.16,7.38,35.76,22.95,10.05,0.53,12.44,0.97,96.78
26.29,80.94,5.06,7.36,32.77,21.79,9.75,0.48,12.59,0.73,96.89
26.05,80.31,2.88,4.36,32.02,20.13,11.28,0.2,14.7,0.21,97.31
25.87,66.88,2.63,3.99,34.55,16.36,8.74,0.11,10.97,0.16,97.67
25.16,56.75,2.42,3.73,34.68,14.89,5.12,0.27,7.09,0.39,97.84
22.1,55.94,2.73,4.2,32.69,8.98,7.93,0.12,9.92,0.24,97.93
21.54,47.44,2.91,4.38,32.85,8.03,6.31,0.4,9.59,0.5,98.04
25.81,44.5,2.7,4.09,39.03,11.38,6.73,0.3,9.05,0.43,97.84
30.63,34.69,3.45,4.99,43.26,17.6,8.4,0.24,11.39,0.08,97.57
33.55,36.31,3.59,5.11,44.49,22.64,7.23,0.23,10.44,0.23,97.29
36.07,31.62,3.55,4.67,45.87,27.24,9.02,0.12,11.35,0.3,97.03
32.49,51.69,4.48,5.84,44.31,24.3,10.06,0.18,12.09,0.17,96.85
28.65,68.62,5.31,7.24,37.51,23.05,10.73,0.05,13.14,0.06,96.85
26.5,83.19,4.38,6.4,32.72,22.58,10.1,0.53,12.93,0.79,96.89
26.21,86.06,3.53,5.38,31.73,22.32,9.37,0.33,11.91,0.33,97.17
25.09,86.88,1.97,3.03,30.35,20.88,4.46,0.09,5.72,0.11,97.61
22.33,83.06,2.22,3.47,29.44,14.5,5.01,0.35,6.55,0.42,97.82
20.93,78.69,2.37,3.69,28.36,10.48,5.95,0.05,8.2,0.05,98.0
21.92,68.19,3.0,4.74,32.8,10.47,6.49,0.17,8.95,0.09,97.92
24.38,54.44,3.12,4.67,35.07,14.0,6.8,0.42,9.36,0.66,97.92
29.33,45.5,2.88,4.32,40.02,19.87,7.32,0.32,9.42,0.38,97.59
33.09,37.62,3.43,4.78,42.12,24.01,7.68,0.27,9.62,0.19,97.44
35.11,36.12,3.63,4.92,45.81,26.64,8.72,0.25,11.02,0.39,97.05
28.8,71.31,3.92,5.52,38.65,22.89,8.66,0.02,10.4,0.22,96.88
26.95,82.81,3.34,4.95,33.48,22.04,7.84,0.23,10.02,0.18,96.91
26.12,88.06,4.13,6.24,31.7,22.28,9.87,0.66,12.65,0.98,96.87
26.15,88.5,2.5,3.89,31.38,21.95,6.37,0.14,8.84,0.2,97.03
24.8,87.06,2.84,4.44,30.07,17.06,9.5,0.3,12.77,0.33,97.23
21.96,84.31,2.75,4.38,29.48,12.73,6.11,0.14,7.58,0.22,97.87
19.99,75.31,1.95,2.8,27.45,9.37,3.91,0.26,5.77,0.35,97.92
22.05,72.5,2.2,3.43,30.9,13.24,4.91,0.09,7.73,0.09,97.78
23.54,49.62,2.31,3.5,36.66,11.68,6.03,0.22,9.45,0.16,97.82
29.28,31.25,2.71,4.03,42.52,16.77,6.06,0.31,8.59,0.29,97.55
32.61,35.81,3.08,4.47,41.97,22.64,7.58,0.18,9.04,0.02,97.35
33.21,45.81,4.23,5.57,42.63,25.46,10.87,0.26,12.87,0.3,97.03
28.15,73.69,4.16,5.94,36.54,23.33,10.23,0.1,12.65,0.17,96.96
26.77,83.69,3.98,5.77,32.32,22.23,11.2,0.25,15.05,0.3,96.81
26.43,85.0,3.06,4.6,31.79,21.58,8.73,0.22,10.97,0.36,97.0
26.1,87.0,2.97,4.56,31.19,20.4,7.7,0.2,9.8,0.26,96.98
24.8,84.56,2.61,4.13,30.62,17.2,5.4,0.16,6.89,0.09,97.4
23.32,85.19,2.44,3.78,30.06,14.38,5.08,0.16,7.02,0.26,97.62
20.58,76.12,2.19,3.4,28.44,8.92,5.37,0.16,7.82,0.25,97.97
20.49,53.62,3.02,4.64,33.35,9.1,6.85,0.2,8.94,0.25,97.02
25.65,27.25,2.98,4.7,38.35,10.36,6.38,0.2,8.66,0.3,96.82
28.23,38.62,3.13,4.68,39.6,15.88,6.91,0.16,9.63,0.23,96.66
33.37,22.31,3.16,4.49,44.62,21.38,7.7,0.16,10.05,0.11,96.29
33.03,40.31,3.77,5.31,43.58,22.95,10.41,0.09,12.65,0.23,96.02
30.13,61.25,5.96,7.88,41.81,21.56,9.88,0.48,13.21,0.66,95.76
25.89,81.81,4.99,7.13,32.03,20.82,10.48,0.25,13.36,0.47,95.9
24.74,86.19,5.2,7.42,30.55,19.38,10.53,0.54,13.79,0.77,95.92
24.7,89.25,3.24,4.8,30.76,20.96,8.47,0.16,10.86,0.19,96.19
23.62,83.0,2.51,3.84,29.86,16.33,5.75,0.05,7.07,0.34,96.67
20.36,72.75,2.52,3.92,29.26,10.47,5.97,0.15,7.32,0.2,96.86
20.01,68.31,2.93,4.62,29.03,7.37,6.59,0.2,8.52,0.07,97.15
22.87,58.62,3.38,5.09,32.09,13.74,7.12,0.32,8.98,0.41,96.96
26.3,40.12,3.14,4.78,38.05,14.96,7.1,0.14,10.38,0.24,96.72
29.87,26.06,3.1,4.63,41.86,16.7,6.56,0.11,9.3,0.34,96.54
32.01,33.5,3.22,4.62,43.05,21.62,7.52,0.06,9.88,0.11,96.33
32.44,42.38,3.5,4.85,41.8,23.93,8.55,0.1,10.64,0.17,96.24
29.49,61.06,5.16,6.92,42.17,22.74,10.28,0.42,12.38,0.72,95.85
26.36,78.31,4.98,6.98,36.37,20.99,9.63,0.97,12.12,1.63,95.89
25.26,82.38,5.34,7.66,30.96,20.01,9.37,1.72,11.86,2.88,95.95
24.87,84.25,3.1,4.64,31.11,19.19,8.64,0.06,10.87,0.08,96.32
24.06,81.31,2.6,3.98,30.12,18.29,5.83,0.11,8.68,0.15,96.75
22.77,77.38,3.01,4.83,30.37,15.33,7.88,0.29,9.91,0.29,96.87
22.23,58.62,3.27,5.23,32.47,11.94,7.09,0.34,9.07,0.12,97.04
23.02,36.88,3.27,4.95,34.59,10.71,7.88,0.06,9.81,0.09,97.03
26.0,28.75,3.23,4.89,38.15,11.13,6.97,0.09,9.12,0.18,96.73
29.87,20.12,3.15,4.75,41.4,16.01,7.51,0.23,10.77,0.32,96.57
33.6,22.5,3.27,4.71,44.91,21.36,7.74,0.15,10.03,0.25,96.33
35.44,27.44,3.93,5.38,44.4,24.78,9.98,0.11,11.63,0.18,96.09
31.43,51.5,5.44,7.16,44.99,22.05,10.68,0.16,13.15,0.26,95.84
26.82,77.06,5.02,6.95,35.07,21.34,11.02,0.21,13.83,0.34,95.88
25.25,86.31,4.81,6.93,30.77,21.05,10.6,0.97,14.22,1.52,95.89
24.95,88.06,3.62,5.38,29.85,21.33,7.16,0.29,9.21,0.41,96.08
23.12,83.56,3.27,4.9,29.47,14.31,7.99,0.27,10.34,0.43,96.5
19.26,71.81,2.88,4.52,28.15,10.06,5.62,0.81,7.59,0.99,97.06
20.54,62.12,3.02,4.91,30.75,6.91,6.23,0.51,8.32,0.69,97.01
23.37,53.06,3.55,5.23,33.83,10.92,6.9,0.31,9.7,0.45,96.75
25.31,42.0,3.51,5.09,35.12,12.82,7.45,0.34,10.21,0.5,96.71
29.92,23.38,3.12,4.64,42.64,16.28,6.81,0.48,8.99,0.32,96.56
33.91,24.44,3.5,4.99,43.35,23.94,8.18,0.18,10.73,0.23,96.17
36.34,20.88,4.09,5.61,45.13,23.25,9.37,0.09,12.09,0.14,95.85
29.26,60.5,5.73,7.64,42.82,21.28,10.55,0.48,12.97,0.53,95.73
25.64,81.06,4.4,6.23,33.34,21.2,8.67,0.27,10.95,0.36,95.85
25.05,81.75,5.34,7.62,31.08,20.24,10.36,1.06,12.98,1.76,95.96
25.31,78.62,3.34,4.98,32.9,20.15,8.28,0.29,10.41,0.39,96.31
24.62,71.31,2.62,4.15,32.2,14.38,6.79,0.24,8.5,0.23,96.57
22.07,50.19,3.3,5.21,32.6,11.02,6.87,0.75,8.67,0.91,96.96
23.67,34.5,2.82,4.38,34.84,12.09,6.77,0.08,9.03,0.02,96.77
25.15,48.94,3.52,5.2,34.82,16.47,7.93,0.24,9.46,0.27,96.83
25.9,21.5,2.79,4.22,39.2,13.51,5.88,0.14,8.76,0.17,96.4
30.78,21.69,2.96,4.34,41.81,15.17,7.61,0.02,10.22,0.02,96.47
33.18,27.12,3.24,4.72,44.39,20.89,7.81,0.25,10.26,0.32,96.15
35.75,26.56,4.36,5.87,44.15,24.8,9.32,0.17,11.84,0.13,95.84
27.78,70.88,5.41,7.3,37.23,22.54,8.62,1.12,11.05,1.25,95.83
25.58,79.31,4.71,6.6,34.17,20.91,8.51,0.42,10.81,0.48,95.99
25.24,82.19,4.33,6.26,31.19,19.98,9.14,0.16,11.54,0.23,95.96
25.87,75.81,3.08,4.57,33.26,19.86,7.53,0.16,9.34,0.23,96.24
23.28,72.5,3.24,5.0,33.01,14.58,7.63,0.27,9.49,0.75,96.55
22.4,55.62,3.2,5.18,33.02,12.17,5.96,0.62,9.05,0.69,96.88
22.76,44.88,3.21,5.2,33.35,11.81,6.09,0.28,8.88,0.4,96.96
21.73,49.56,3.62,5.66,32.4,10.76,7.15,0.95,9.3,1.08,96.94
25.6,47.88,3.7,5.31,36.87,14.11,7.54,0.2,10.7,0.29,96.73
30.91,27.44,3.64,5.21,42.12,18.85,7.02,0.45,9.5,0.61,96.49
33.73,28.0,3.48,4.98,44.34,20.82,8.17,0.2,10.77,0.29,96.23
34.92,25.25,4.31,5.87,44.24,24.26,10.07,0.27,13.16,0.1,95.99
28.79,65.94,5.63,7.27,42.62,21.28,10.34,0.58,12.9,0.63,95.78
26.18,77.06,5.64,7.72,33.01,21.19,10.85,0.28,14.25,0.46,95.95
25.0,82.69,4.86,6.83,31.11,20.47,11.54,0.33,15.02,0.47,96.0
25.64,80.06,2.45,3.59,32.65,20.01,6.08,0.04,7.68,0.07,96.33
26.2,59.56,2.94,4.69,35.38,14.82,5.96,0.19,9.48,0.25,96.65
24.51,53.31,2.82,4.56,35.24,13.15,5.27,0.4,7.95,0.52,96.81
23.46,49.44,3.54,5.31,33.33,11.21,7.55,0.18,10.28,0.5,97.02
22.88,49.62,3.33,5.19,33.99,9.9,7.24,0.52,8.59,0.73,97.04
25.19,29.62,3.68,5.59,36.91,12.87,7.45,1.45,9.51,1.52,96.92
28.97,31.62,2.99,4.45,41.62,17.22,6.62,0.3,9.56,0.38,96.6
33.31,23.81,3.48,4.97,43.39,22.02,9.38,0.16,11.25,0.21,96.35
32.76,34.12,2.91,4.0,41.87,23.51,7.24,0.24,8.62,0.24,96.36
31.22,55.44,4.59,5.93,43.36,23.3,9.87,0.12,12.16,0.22,95.85
26.35,76.31,5.02,6.96,34.05,21.62,9.79,0.68,11.98,0.98,96.09
25.79,83.19,4.31,6.16,33.83,21.51,9.09,0.17,11.45,0.34,95.96
26.59,76.75,3.03,4.62,34.3,21.19,8.37,0.05,10.45,0.05,96.32
24.96,73.81,2.86,4.41,33.12,14.91,7.79,0.16,9.67,0.23,96.62
22.9,71.25,3.2,4.78,33.19,13.05,9.21,0.05,12.2,0.06,96.73
20.44,59.19,2.81,4.34,30.62,8.28,6.34,0.45,7.74,0.65,97.11
23.83,46.88,2.95,4.7,35.47,13.01,5.72,0.09,8.89,0.12,96.91
26.83,35.19,3.3,4.92,37.69,13.94,6.93,0.13,9.94,0.18,96.67
29.87,25.12,3.0,4.35,41.27,17.39,6.77,0.08,8.92,0.14,96.44
32.86,33.69,3.11,4.49,43.32,21.33,7.82,0.12,10.48,0.07,96.34
36.24,24.5,4.41,6.09,46.2,26.18,8.98,0.16,10.77,0.23,95.85
30.35,57.31,5.18,6.72,43.3,22.2,8.98,0.27,11.68,0.27,95.88
26.24,81.88,4.66,6.47,33.23,21.98,9.98,0.33,13.38,0.46,95.87
25.54,86.75,3.9,5.68,31.5,21.86,8.86,0.3,11.34,0.45,95.97
25.32,88.75,2.91,4.49,30.39,21.43,7.92,0.03,10.08,0.16,96.06
23.24,76.81,2.44,3.64,30.3,15.83,6.35,0.31,8.05,0.4,96.58
20.86,63.44,2.62,3.98,30.01,8.9,5.8,0.21,8.35,0.22,96.98
21.16,51.25,2.64,4.05,32.36,12.14,6.38,0.31,9.4,0.38,97.1
22.78,33.06,2.9,4.54,35.28,11.61,6.78,0.49,9.47,0.34,96.84
25.48,16.19,2.91,4.24,38.37,10.9,6.75,0.2,9.17,0.26,96.83
27.93,37.88,3.41,4.95,39.7,16.9,7.86,0.34,10.09,0.42,96.56
33.12,20.69,3.27,4.66,43.38,17.33,9.28,0.1,11.2,0.14,96.28
35.75,23.69,4.5,6.15,46.47,23.62,10.2,0.22,13.01,0.27,95.86
28.57,63.12,5.91,7.65,39.23,20.4,10.19,0.5,12.72,0.59,95.93
25.83,82.31,5.0,6.95,34.09,20.92,13.95,0.13,18.16,0.15,95.9
24.57,86.88,5.63,7.95,30.4,20.97,9.65,1.84,12.49,3.24,95.91
24.85,85.56,3.14,4.77,31.01,20.26,7.08,0.02,8.96,0.08,96.26
24.36,71.88,2.29,3.41,32.08,15.42,5.12,0.05,6.95,0.05,96.59
23.04,60.25,3.17,5.23,32.5,15.26,6.58,0.23,8.52,0.64,97.02
21.25,50.38,3.34,5.16,31.32,10.37,6.58,0.45,8.52,0.67,97.09
23.37,31.44,3.06,4.59,36.11,12.84,6.02,0.14,8.45,0.12,97.01
25.92,26.38,2.98,4.56,37.8,13.4,6.37,0.2,9.48,0.28,96.72
29.08,29.31,3.12,4.59,39.94,14.9,7.83,0.16,9.32,0.2,96.59
33.36,20.12,3.39,4.87,43.83,19.46,8.03,0.1,10.56,0.12,96.21
30.67,56.31,4.14,5.68,42.28,22.61,10.73,0.31,13.05,0.27,95.97
26.58,78.12,5.34,7.29,33.3,22.4,10.05,0.37,12.29,0.52,95.88
25.77,79.31,5.88,8.15,32.65,21.19,10.16,1.71,12.57,3.26,95.96
25.22,85.12,5.21,7.36,32.12,21.24,10.48,0.3,14.5,0.35,95.96
24.98,85.62,3.71,5.51,30.05,18.9,7.69,0.44,9.55,0.7,96.23
23.56,84.69,3.09,4.73,30.15,16.68,7.91,0.25,10.46,0.42,96.65
22.24,78.12,2.78,4.42,30.55,12.64,6.3,0.3,7.96,0.4,96.88
21.33,65.44,2.95,4.82,30.54,12.44,5.72,0.62,9.14,1.02,97.08
23.23,40.62,3.12,4.85,35.19,7.8,6.53,0.22,8.46,0.34,96.92
26.76,26.5,3.26,5.0,37.65,12.8,7.02,0.09,10.16,0.06,96.84
31.5,23.69,3.01,4.36,42.77,19.89,7.39,0.08,9.55,0.11,96.49
33.92,25.06,2.69,3.86,44.52,23.16,9.48,0.09,11.19,0.08,96.28
36.54,22.94,3.79,5.31,45.71,24.5,9.54,0.23,11.35,0.3,96.05
28.94,69.0,5.27,7.05,44.41,22.15,12.5,0.18,15.23,0.11,95.78
25.62,83.06,5.72,7.86,31.23,21.45,11.53,0.41,14.65,0.6,95.8
24.77,85.44,5.01,7.2,31.1,20.29,8.98,1.73,11.36,3.19,96.04
25.6,79.62,2.67,3.92,31.31,20.66,6.01,0.12,7.95,0.17,96.39
24.45,71.06,2.74,4.26,32.01,15.76,7.04,0.12,8.91,0.16,96.53
22.4,66.19,3.09,4.88,33.3,13.19,7.11,0.15,8.96,0.2,97.0
21.17,49.5,3.0,4.69,32.76,10.45,6.62,0.13,8.49,0.15,97.01
22.06,37.94,3.05,4.83,34.1,9.55,5.7,0.31,9.66,0.4,97.16
24.76,21.94,2.83,4.23,37.25,13.27,6.3,0.33,9.41,0.33,96.79
30.34,17.0,2.66,3.9,42.01,17.06,6.78,0.25,9.34,0.2,96.64
33.8,22.69,3.33,4.86,42.75,23.57,7.56,0.14,8.99,0.3,96.39
35.33,27.06,3.65,5.09,44.47,25.41,9.86,0.09,11.66,0.28,96.03
30.59,57.44,5.02,6.78,41.52,21.08,12.14,0.32,14.52,0.35,95.75
